path,kind,inode,logical_size,referenced_by,decision,reason
/Users/rainhuang/Desktop/models/qwen3.5-9b-hauhau-aggressive-mxfp4,dir,16777232:34819531,5.3G,PID 1581 --model; LaunchAgent com.kiln.mlx.plist -> Application Support/kiln/start-mlx.sh; kiln/scripts/start-mlx.sh; fetch-model.sh; docker-compose.yml; backend/app/config.py; backend/tests; web/src/stores/chat-store.ts,protect,现网 9B。lsof 没有打开该目录下任何文件，但进程参数和 LaunchAgent 指向它。权重 clone id 等于自身 inode 且 private size 覆盖逻辑大小，不是另一份 clone。保护。
/Users/rainhuang/Desktop/models/qwen3.8-27b,dir,16777232:34623913,14G,backend/tests/test_tokens.py; backend/tests/conftest.py; backend/tests/test_api.py; benchmarks/run_inference.py; scripts/start-mlx.sh; docs/architecture.md; docs/inference-mlx.md; BENCHMARK.md; clone 对端 /Users/rainhuang/models/qwen3.8-27b,protect,测试和文档仍写 qwen3.8-27b，解析到这棵桌面目录。三个权重分片与 home 那份是 APFS 全量 clone，两边 private size 为 0、refcnt 为 2。删掉不会立刻释放 14G。PID 1581 未加载。保护。
/Users/rainhuang/models/qwen3.8-27b,dir,16777232:34620056,14G,无 kiln 源码、测试、LaunchAgent 或 PID 1581 路径字符串; clone 对端是桌面 qwen3.8-27b,protect,27 个同名文件里 26 个的 clone id 等于这里的 inode。chat_template.jinja 两边大小不同（9168 与 8952），不是整树副本。身份是 27B 的 clone 源头，不确定，保护。
/Users/rainhuang/Desktop/models/image-z-image-turbo-mflux-4bit,dir,16777232:39763893,5.5G,backend/app/config.py image_zimage_dir; docs/media-manifest.md,protect,按名字找到的现用 Z-Image 目录。无第二份路径。保护。
/Users/rainhuang/Desktop/models/image-flux2-klein-4b-mflux-4bit,dir,16777232:39763891,4.3G,backend/app/config.py image_flux_dir; docs/media-manifest.md,protect,按名字找到的现用 FLUX.2 目录。保护。
/Users/rainhuang/Desktop/models/image-flux1-dev-mflux-4bit,dir,16777232:43496342,9.0G,backend/app/config.py image_flux1_dev_dir; web/src/generate.tsx; MODEL.md; backend/app/services/media.py,protect,按名字找到的 FLUX.1 质量档。保护。
/Users/rainhuang/Desktop/models/image-flux2-klein-4b-uncensored-te,dir,16777232:39763892,16K,运行时代码没有这个路径; 子目录 flux2-klein-4b-uncensored-text-encoder 为空壳,protect,FLUX 相关但几乎没有权重。身份不完整。歧义保护。
/Users/rainhuang/Desktop/models/video-nsfw-wan-1.3b,dir,16777232:39763894,2.6G,backend/app/config.py video_wan_dit 指向 wan_1.3B_exp_e14.safetensors; docs/media-manifest.md,protect,按名字找到的现用 Wan DiT。1.3B 不是 Qwen3B。保护。
/Users/rainhuang/Desktop/models/video-nsfw-wan-1.3b-mlx,dir,16777232:39893482,12G,backend/app/config.py video_wan_mlx_dir; scripts/wan_bench.py,protect,现用 Wan MLX 权重。保护。
/Users/rainhuang/Desktop/models/video-wan21-t2v-1.3b-aux,dir,16777232:39763895,11G,backend/app/config.py video_wan_aux_dir; scripts/wan_bench.py,protect,现用 Wan T5/VAE。保护。
